run_id,scenario,intensity,run,flowId,role,src,dst,dst_port,tx,rx,lost,rx_bytes,t_first_tx,t_last_rx,throughput_mbps,owd_ms,pdv_ms
ddos_i8.0_r4,ddos,8.0,4,8,flood,192.168.1.18,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9937,0.8435856260287145,7.541620689655172,3.3244758620689656
ddos_i8.0_r4,ddos,8.0,4,9,pump,192.168.1.3,192.168.1.1,8080,2197,2197,0,1186380,3.0041,19.9992,0.5589724985040733,6.331770596267638,2.5412335002275834
ddos_i8.0_r4,ddos,8.0,4,10,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
ddos_i8.0_r5,ddos,8.0,5,1,flood,192.168.1.11,192.168.1.1,9,2900,2871,29,3020292,1.0,29.9908,0.8428306325362563,5.106583072100313,2.813671194705677
ddos_i8.0_r5,ddos,8.0,5,2,flood,192.168.1.12,192.168.1.1,9,2900,2871,29,3020292,1.0,29.9941,0.8427494973987508,5.446011842563567,2.9039707419017766
ddos_i8.0_r5,ddos,8.0,5,3,flood,192.168.1.13,192.168.1.1,9,2900,2802,98,2947704,1.0,29.9931,0.8431958127748557,6.153461812990721,3.1310492505353316
ddos_i8.0_r5,ddos,8.0,5,4,flood,192.168.1.14,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9929,0.8423691701940254,5.327931034482758,2.690358620689655
ddos_i8.0_r5,ddos,8.0,5,5,flood,192.168.1.15,192.168.1.1,9,2900,2869,31,3018188,1.0,29.9943,0.8427564769081867,5.148902056465667,2.8244719414430115
ddos_i8.0_r5,ddos,8.0,5,6,flood,192.168.1.16,192.168.1.1,9,2900,2900,0,3050800,1.0,29.993,0.8419759858281542,5.569206896551725,2.9783999999999997
ddos_i8.0_r5,ddos,8.0,5,7,flood,192.168.1.17,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9952,0.841832229580574,5.941137931034482,3.1107310344827583
ddos_i8.0_r5,ddos,8.0,5,8,flood,192.168.1.18,192.168.1.1,9,2900,2773,127,2917196,1.0,29.9927,0.843855556214447,6.723512441399207,3.3023800937612697
ddos_i8.0_r5,ddos,8.0,5,9,pump,192.168.1.3,192.168.1.1,8080,2197,2197,0,1186380,3.0041,20.0004,0.5588184727851665,2.660368684569868,2.1105097860719164
ddos_i8.0_r5,ddos,8.0,5,10,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
blackhole_i1.0_r1,blackhole,1.0,1,1,relay_in,192.168.1.3,192.168.1.9,7070,2197,2197,0,1186380,3.0041,19.9992,0.5589432007505154,0.3795748748293126,0.08566317705962677
