run_id,scenario,intensity,run,n_flows,total_throughput_mbps,max_flow_throughput_mbps,max_flow_txpackets,flow_concentration,delivery_ratio,overall_loss_ratio,monitor_owd_ms,monitor_pdv_ms,victim_startup_lag_ms,mean_owd_ms,mean_pdv_ms,telemetry_throughput_mbps,label_class,label_binary,e2e_delay_mean_ms,e2e_delay_median_ms,e2e_delay_p95_ms,e2e_delivered_n
greypos_i0.2_r9,greypos,0.2,9,8,9.82313951920234,9.523498689570244,17849,0.7759085376456268,0.785014409221902,0.003564597461311,7.437843705440159,3.846172715113763,86.03000000000006,5.012216429447907,3.4357072446289507,0.049436556572137,greypos,attack,7.23052,1.78334,31.0098,1362.0
greypos_i0.2_r10,greypos,0.2,10,7,11.732993962120418,11.513645521057247,27507,0.8752386407025582,0.7108695652173913,0.182512409316533,43.42124270674314,8.897244264614098,22.4899999999999,17.905557037794107,9.64847034144907,0.0682902285505856,greypos,attack,44.6919,3.44326,217.803,981.0
greypos_i0.3_r1,greypos,0.3,1,4,12.751454066819033,12.563752727183958,21554,0.8810857212933818,0.6926010678871091,0.0095654662142827,12.582052418819057,6.480781691316509,9.180000000000188,5.529713123450664,1.7720524384819534,0.0599124873779872,greypos,attack,11.9508,2.8889,63.8387,908.0
greypos_i0.3_r2,greypos,0.3,2,5,13.324101134901786,13.13160127421325,26647,0.905313582931304,0.6835016835016835,0.0512672419650744,42.80721114199322,14.19160103976229,20.98000000000022,18.964641330423827,9.684565392931042,0.0486656791345627,greypos,attack,42.3509,17.1524,179.946,812.0
greypos_i0.3_r3,greypos,0.3,3,5,10.347543589801472,10.142269496914157,17441,0.8486691645175417,0.6846213895394223,0.0183446061018928,14.46606450432598,6.597011329148489,15.859999999999983,6.087819805214534,2.2825803738078063,0.0570252222782444,greypos,attack,13.9395,3.65293,59.5085,877.0
greypos_i0.3_r4,greypos,0.3,4,6,13.302412320840816,13.092765190525231,29921,0.8929242889969858,0.6063418406805878,0.1615088483690948,40.39920550109807,11.388420565732856,17.819999999999947,20.07638226286181,6.24620105716485,0.04189795966267,greypos,attack,40.5718,9.88628,193.776,784.0
greypos_i0.3_r5,greypos,0.3,5,8,10.471995858564734,10.195571760553984,18170,0.8006168759638687,0.6621221102548903,0.0279356686494822,8.314915626836719,4.459774414240336,18.86999999999972,8.158047412986265,4.23994294930381,0.0424592910434269,greypos,attack,8.22416,2.49277,38.3709,1117.0
greypos_i0.3_r6,greypos,0.3,6,4,10.077530264753374,9.903102861141775,18613,0.8656001488164442,0.6947291361639825,0.0033018648560665,6.154301681565585,4.081363962375484,21.15,3.2466229162132736,1.1743182939525427,0.0441119501089144,greypos,attack,6.2528,2.01047,33.6501,949.0
greypos_i0.3_r7,greypos,0.3,7,7,11.437280221289988,11.213721176962984,17015,0.8293122776234342,0.7074268567141786,0.004289126090559,5.964445907341099,4.1085919942339775,14.610000000000234,5.050242056282059,4.104581475213327,0.0505051451034098,greypos,attack,5.65159,2.12359,19.638,943.0
greypos_i0.3_r8,greypos,0.3,8,5,13.061428696615009,12.861721735551766,22656,0.8941157898891038,0.6877256317689531,0.0551324045937093,23.76270149950321,9.16487687377758,21.480000000000388,15.89048189127141,9.614935145756174,0.0584526897623245,greypos,attack,23.2002,0.662027,109.825,762.0
greypos_i0.3_r9,greypos,0.3,9,8,9.775755959455177,9.486600929506226,17849,0.7813430222377867,0.6927953890489914,0.0074855541936613,5.62114353326773,3.833121012280751,86.03000000000006,5.982861174088384,4.356485554243127,0.049436556572137,greypos,attack,5.60009,1.85536,22.8094,1202.0
greypos_i0.3_r10,greypos,0.3,10,7,11.755088352174512,11.546975350148502,27507,0.8793235726615946,0.5985507246376811,0.1834281695543763,28.758079445498403,9.426697939368523,22.4899999999999,14.345692621465089,7.799822469910898,0.0682902285505856,greypos,attack,27.9444,2.05715,122.792,826.0
greypos_i0.4_r1,greypos,0.4,1,4,12.762069597707018,12.580640888263838,21554,0.8854654506614082,0.6003051106025934,0.007230301536439,7.339192497347959,5.574030752013803,9.180000000000188,3.946356049597736,1.5428026227586071,0.0599124873779872,greypos,attack,7.54059,2.85375,32.2561,787.0
greypos_i0.4_r2,greypos,0.4,2,5,13.179025008426718,12.992505856174123,26647,0.9081521368686524,0.6026936026936027,0.0601867630018403,34.84530596050569,12.780007050800156,20.98000000000022,15.387499566687804,8.503369391395648,0.0486656791345627,greypos,attack,35.9707,15.6843,137.764,716.0
greypos_i0.4_r3,greypos,0.4,3,5,10.482978482743055,10.28378568908759,17441,0.8536537614409476,0.5925058548009368,0.006509715628212,9.6019397119622,5.713307664349642,15.859999999999983,4.462108253086406,1.7798950203528292,0.0570252222782444,greypos,attack,9.47679,2.28289,42.1548,759.0
