run_id,scenario,intensity,run,n_flows,total_throughput_mbps,max_flow_throughput_mbps,max_flow_txpackets,flow_concentration,delivery_ratio,overall_loss_ratio,monitor_owd_ms,monitor_pdv_ms,victim_startup_lag_ms,mean_owd_ms,mean_pdv_ms,telemetry_throughput_mbps,label_class,label_binary,e2e_delay_mean_ms,e2e_delay_median_ms,e2e_delay_p95_ms,e2e_delivered_n
greyhole_i0.9_r10,greyhole,0.9,10,7,10.829516587057748,10.666933595910471,27507,0.9012187930017692,0.072463768115942,0.2453967629906297,38.55667508532423,12.233677781569966,108.30000000000028,24.46025875536173,11.841999639415176,0.0682902285505856,greyhole,attack,28.7899,1.25695,135.03,100.0
mitm_i20.0_r1,mitm,20.0,1,4,12.23305298089516,12.031989533077112,21554,0.8688676583222478,0.9000762776506483,0.0503486919014794,38.6562362592733,11.14385013808415,22.170000000000023,15.38015174440337,2.9526022878974323,0.0599124873779872,mitm,attack,46.3648,30.0725,131.802,1180.0
mitm_i20.0_r2,mitm,20.0,2,5,12.715233372095998,12.509859263977702,26647,0.8966016150740242,0.8594276094276094,0.095222072678331,51.80228931103807,18.40188748620174,56.070000000000064,25.48857547736322,11.98864076057716,0.0486656791345627,mitm,attack,71.7082,53.2827,195.773,1021.0
mitm_i20.0_r3,mitm,20.0,3,5,10.418355850234404,10.189433234577423,17441,0.8327444614209321,0.960967993754879,0.0150878533231474,23.43043263900597,10.14005840984218,46.479999999999855,8.072148699628585,3.1592246353494757,0.0570252222782444,mitm,attack,42.3075,30.0894,111.309,1231.0
mitm_i20.0_r4,mitm,20.0,4,6,12.161019161904193,11.950573054377148,29921,0.8850010352273063,0.711523588553751,0.2325416309266763,67.56779601806079,16.199569878556694,38.250000000000114,26.017574101334063,6.481729507246089,0.04189795966267,mitm,attack,88.8772,35.1346,308.94,920.0
mitm_i20.0_r5,mitm,20.0,5,8,10.53061894767877,10.22196325673312,18170,0.7819762437596832,0.972732661529342,0.0230246169736615,17.157271915293354,7.557838620899029,21.46999999999988,7.200051166420846,4.310897149820991,0.0424592910434269,mitm,attack,36.8459,28.9119,85.7793,1641.0
mitm_i20.0_r6,mitm,20.0,6,4,9.992872315706787,9.79651845473404,18613,0.8496758878845978,0.9838945827232796,0.0120971423354332,14.24482239715413,7.315559752747252,43.12999999999967,5.5302442492613135,1.9902617400376568,0.0441119501089144,mitm,attack,34.1056,27.1292,83.6813,1344.0
mitm_i20.0_r7,mitm,20.0,7,7,11.271482312175785,11.028024539161263,17015,0.8148165884493822,0.9654913728432108,0.019729910928072,21.90247104068205,10.319003621251326,28.469999999999995,7.854313562928779,5.330936136893176,0.0505051451034098,mitm,attack,41.9814,30.3099,108.373,1287.0
mitm_i20.0_r8,mitm,20.0,8,5,12.760987166051928,12.548844992845522,22656,0.8844472204871955,0.8925992779783394,0.0795986883198001,41.56695725569613,12.72908650359301,35.75000000000017,19.95153447538633,8.159749748116166,0.0584526897623245,mitm,attack,60.1829,26.4868,243.849,989.0
mitm_i20.0_r9,mitm,20.0,9,8,9.758839760049334,9.442014453763177,17849,0.7643456663240836,0.9694524495677234,0.0125471051730044,20.44659877895293,8.089258499002161,132.3000000000003,7.200304159569663,4.577009347875624,0.049436556572137,mitm,attack,40.4416,29.6556,105.793,1682.0
